Org Leader,Parent Cloud,Cloud,Team Name,Service Name,"non-FKP Instance Count 
 Commercial",Commercial ETA,non-FKP Instance Count Gia2h,Gia2h ETA,non-FKP Instance Count Blackjack,BlackJack ETA,Decommission ETA,Feature Dependencies,Comments
Darryn Dieken,Big Data & Observability,Ajna,Ajna - INI (Integrations and Infra),ajnaoperator,36,FY27Q2,0,N/A,0,N/A,N/A,"Disruption Control, Self-Service Nodepools",
Darryn Dieken,Big Data & Observability,Ajna,Ajna - Wrangler,ajnatopicapi,90,FY27Q2,12,FY27Q2,1,FY27Q3,N/A,"Disruption Control, Self-Service Nodepools",
Darryn Dieken,Big Data & Observability,Ajna,Ajna - Wrangler,ajnatopicdeployer,193,FY27Q2,25,N/A,0,N/A,N/A,"Disruption Control, Self-Service Nodepools",
Darryn Dieken,Big Data & Observability,Ajna,Ajna - Wrangler,ajnawrangler,193,FY27Q2,25,FY27Q2,0,N/A,N/A,"Disruption Control, Self-Service Nodepools",
Darryn Dieken,Big Data & Observability,Ajna,Ajna - INI (Integrations and Infra),ajnazac,188,FY27Q2,0,N/A,0,N/A,N/A,"Disruption Control, Self-Service Nodepools",
Darryn Dieken,Reliable AI-Driven Developer eXperience (RADX),Developer Productivity Experience,Artifact Metadata and Governance,amg-api,2,FY27Q1,0,N/A,0,N/A,N/A,,
Darryn Dieken,Reliable AI-Driven Developer eXperience (RADX),Developer Productivity Experience,Artifact Metadata and Governance,amg-data,2,FY27Q1,0,N/A,0,N/A,N/A,,
Darryn Dieken,Reliable AI-Driven Developer eXperience (RADX),Developer Productivity Experience,Artifact Metadata and Governance,amg-governance,2,FY27Q1,0,N/A,0,N/A,N/A,,
Darryn Dieken,Reliable AI-Driven Developer eXperience (RADX),Developer Productivity Experience,Artifact Metadata and Governance,amg-infra,2,FY27Q1,0,N/A,0,N/A,N/A,,
Darryn Dieken,Reliable AI-Driven Developer eXperience (RADX),Developer Productivity Experience,Artifact Metadata and Governance,amg-ingress-gateway,2,FY27Q1,0,N/A,0,N/A,N/A,,
Darryn Dieken,Reliable AI-Driven Developer eXperience (RADX),Developer Productivity Experience,Artifact Metadata and Governance,amg-istio,2,FY27Q1,0,N/A,0,N/A,N/A,,
Darryn Dieken,Reliable AI-Driven Developer eXperience (RADX),Developer Productivity Experience,Artifact Metadata and Governance,amg-s2a-api,2,FY27Q1,0,N/A,0,N/A,N/A,,
Darryn Dieken,Reliable AI-Driven Developer eXperience (RADX),Developer Productivity Experience,Artifact Metadata and Governance,amg-topo-api,2,FY27Q1,0,N/A,0,N/A,N/A,,
Darryn Dieken,Reliable AI-Driven Developer eXperience (RADX),Developer Productivity Experience,Artifact Metadata and Governance,amg-topo-tools,2,FY27Q1,0,N/A,0,N/A,N/A,,
Darryn Dieken,Reliable AI-Driven Developer eXperience (RADX),Developer Productivity Experience,Artifact Metadata and Governance,amg-ui,2,FY27Q1,0,N/A,0,N/A,N/A,,
Darryn Dieken,Reliable AI-Driven Developer eXperience (RADX),Developer Productivity Experience,Artifact Metadata and Governance,amg-versionvector-api,2,FY27Q1,0,N/A,0,N/A,N/A,,
Darryn Dieken,Reliable AI-Driven Developer eXperience (RADX),Developer Productivity Experience,Artifact Metadata and Governance,amg-workflow-api,2,FY27Q1,0,N/A,0,N/A,N/A,,
Darryn Dieken,Reliable AI-Driven Developer eXperience (RADX),Developer Productivity Experience,SFCD Stargate,ami-perms,0,N/A,0,N/A,1,FY27Q2,N/A,,"1/12: Moved from FY26Q4 to FY27Q1.
  11/13: Aravinth to kick-start thread on POC status."
Darryn Dieken,Reliable AI-Driven Developer eXperience (RADX),Developer Productivity Experience,SFCD Stargate,ami-replicator,0,N/A,0,N/A,1,FY27Q2,N/A,,"1/12: Moved from FY26Q4 to FY27Q1.
  11/13: Aravinth to kick-start thread on POC status."
Darryn Dieken,Big Data & Observability,Monitoring Cloud,Argus,argus,3,FY27Q2,0,N/A,0,N/A,N/A,,
Darryn Dieken,Reliable AI-Driven Developer eXperience (RADX),Developer Productivity Experience,fedx-cp,armada2-api,2,FY27Q2,0,N/A,0,N/A,N/A,,
Darryn Dieken,Reliable AI-Driven Developer eXperience (RADX),Developer Productivity Experience,fedx-cp,armada2-servicecrd,2,FY27Q2,0,N/A,0,N/A,N/A,,
Darryn Dieken,Reliable AI-Driven Developer eXperience (RADX),Developer Productivity Experience,Falcon Application Services And Tooling - FAST,baas,4,Need More Info,2,Need More Info,0,N/A,N/A,,"2/6: POC will kick-off in 262. Based on the POC, team will determine FKP feasibility."
Muralidhar Krishnaprasad,D360,D360 Service Delivery,MCI Service Delivery - DC Squad,beacons-control-box,40,To Be Decommissioned,4,To Be Decommissioned,0,N/A,FY27Q4,,
