servicename,total_count,on_fkp,percent_on_fkp
kwaf-driver,45,45,100.0
istio-route-update-service,42,42,100.0
fit-gdot-service,42,42,100.0
qpid,41,41,100.0
orgstore-permissions,40,40,100.0
orgstore-provisioner,40,40,100.0
cdp-control-box,40,2,5.0
cdp-mgmt-cmdgateway,39,0,0.0
cdp-infra,39,0,0.0
cdp-mgmt-jit-ui,39,0,0.0
cdp-byoc,39,37,94.9
sequencer,39,39,100.0
cdp-istio-ingress-gateway,39,0,0.0
cdp-keda,39,0,0.0
cdp-pra-istio-ingress-gateway,39,0,0.0
cdp-authentication-service,39,0,0.0
cdp-settingspath-injector,39,0,0.0
cdp-eks,39,0,0.0
cdp-admin-service,38,0,0.0
cdp-airflow-service,38,0,0.0
grls-operator,38,38,100.0
cdp-scheduler-service,38,0,0.0
cdp-billing-service,38,0,0.0
credential-service,38,0,0.0
coreapp,38,38,100.0
cdp-beacon-metrics-scraper,37,0,0.0
cdp-beacon-istio,37,0,0.0
cdp-data-extractor-dispatcher,37,0,0.0
p13n-process-object-service,37,0,0.0
cdp-actions-service,37,0,0.0
ai-metadata-service,37,0,0.0
cdp-beacon-ingress-gateway,37,0,0.0
cdp-realtime-service,37,0,0.0
edc-director,37,0,0.0
beacons-control-box,37,0,0.0
cdp-hyperdb,37,0,0.0
cdp-data-capture-eks,37,0,0.0
edc-inference,37,0,0.0
cdp-policy-engine,37,0,0.0
cdp-data-connectors,37,0,0.0
data-cloud-cdp-fabric-access,37,0,0.0
cdp-data-sync-service,37,0,0.0
cdp-partner-activation-service,37,0,0.0
semantic-analytics-agent,37,37,100.0
p13n-recommendation-engine,37,0,0.0
cdp-iceberg-explorer,37,0,0.0
cdp-data-extractor-crm-service,37,0,0.0
ajnaoperator,36,0,0.0
cdp-query-federator,36,0,0.0
p13n-decisioning-pipeline,36,0,0.0
semantic-sql-generator,35,35,100.0
tua-timeseries-service,35,35,100.0
semantic-query-preparer,35,35,100.0
tua-insights-service,35,35,100.0
semantic-engine-gateway,35,35,100.0
tua-dqa-service,35,35,100.0
cdp-multiorg-service,35,0,0.0
unstructured-realtime,34,0,0.0
praui,34,26,76.5
semantic-query-manager,33,33,100.0
copilot-p13n,32,32,100.0
oob-telemetry-collector,32,0,0.0
data-prism,32,32,100.0
e360-tracking-service,31,31,100.0
mce-istio,31,0,0.0
e360-api-service,31,31,100.0
e360-worker,31,31,100.0
e360-sms-service,31,31,100.0
e360-queue-manager-service,31,31,100.0
mce-internal-ingress-gateway,31,0,0.0
e360-consent,31,31,100.0
mce-istio-ingress-gateway,31,0,0.0
mce-control-pod,31,0,0.0
mce-eks,31,0,0.0
mce-hermes-service,31,0,0.0
e360-whatsapp-receiver,31,31,100.0
e360-whatsapp,31,31,100.0
e360-email-service,31,31,100.0
hyperforce-service-protection,31,31,100.0
mce-envoy-metrics-scraper,31,0,0.0
data-cloud-segment-gen-ai,31,31,100.0
e360-metadata-service,31,31,100.0
mce-sto-service,30,0,0.0
mce-sto-worker,30,0,0.0
high-scale-flow,29,29,100.0
cdp-dpc-eks,29,0,0.0
edge,29,0,0.0
ump-controller,29,0,0.0
e360-sms-send-service,29,29,100.0
dp-master,28,28,100.0
mce-provisioner,28,0,0.0
mce-goodbye,28,0,0.0
quantumk,28,26,92.9
bifrost,27,27,100.0
chronicle-grafana,27,27,100.0
mce-api-gateway,27,0,0.0
chronicle-alert-router,27,27,100.0
dbschema-upgrade,27,27,100.0
chronicle-server,27,27,100.0
chronicle-alertmanager,27,27,100.0
jarvisstoragemanager,27,27,100.0
chronicle-orchestrator,27,27,100.0
chronicle-zk,27,27,100.0
backup-worker,27,27,100.0
cantor,27,27,100.0
