,fi,fd,k8s_cluster,label_p_servicename
,aag-stage1,foundation,sam-control1,sam
,aag-stage1,foundation,sam-control1,spo
,aag-stage1,foundation,sam-control1,stampy-webhook
,aag-stage1,foundation,soterfalcon1,clustermanagement
,aag-stage1,foundation,soterfalcon1,collection
,aag-stage1,foundation,soterfalcon1,collectioninjector
,aag-stage1,foundation,soterfalcon1,madkub-injection-webhook
,aag-stage1,foundation,soterfalcon1,madkub-watchdog
,aag-stage1,foundation,soterfalcon1,metadata-concealer
,aag-stage1,foundation,soterfalcon1,soterfalcon
,aag-stage1,foundation,soterfalcon1,stampy-webhook
,aag-stage1,foundation,strauz-cluster,clustermanagement
,aag-stage1,foundation,strauz-cluster,collection
,aag-stage1,foundation,strauz-cluster,collectioninjector
,aag-stage1,foundation,strauz-cluster,madkub-injection-webhook
,aag-stage1,foundation,strauz-cluster,madkub-watchdog
,aag-stage1,foundation,strauz-cluster,metadata-concealer
,aag-stage1,foundation,strauz-cluster,stampy-webhook
,aag-stage1,foundation,strauz-cluster,strauz
,aag-stage1,foundation,tentacle1,clustermanagement
,aag-stage1,foundation,tentacle1,collection
,aag-stage1,foundation,tentacle1,collectioninjector
,aag-stage1,foundation,tentacle1,madkub-injection-webhook
,aag-stage1,foundation,tentacle1,madkub-watchdog
,aag-stage1,foundation,tentacle1,metadata-concealer
,aag-stage1,foundation,tentacle1,stampy-webhook
,aag-stage1,foundation,tentacle1,tentacle
,aag-stage1,monitoring,collection1,cloudwatchexporter
,aag-stage1,monitoring,collection1,clustermanagement
,aag-stage1,monitoring,collection1,collection
,aag-stage1,monitoring,collection1,collectioninjector
,aag-stage1,monitoring,collection1,collectioninjectortest
,aag-stage1,monitoring,collection1,madkub-injection-webhook
,aag-stage1,monitoring,collection1,madkub-watchdog
,aag-stage1,monitoring,collection1,metadata-concealer
,aag-stage1,monitoring,collection1,stampy-webhook
,aag-stage1,monitoring,fit1,clustermanagement
,aag-stage1,monitoring,fit1,collection
,aag-stage1,monitoring,fit1,collectioninjector
,aag-stage1,monitoring,fit1,fit-controller-service
,aag-stage1,monitoring,fit1,fit-test-twister
,aag-stage1,monitoring,fit1,integration-test-service
,aag-stage1,monitoring,fit1,madkub-injection-webhook
,aag-stage1,monitoring,fit1,madkub-watchdog
,aag-stage1,monitoring,fit1,metadata-concealer
,aag-stage1,monitoring,fit1,stampy-webhook
,aag-stage1,monitoring,funnel1,clustermanagement
,aag-stage1,monitoring,funnel1,collection
,aag-stage1,monitoring,funnel1,collectioninjector
,aag-stage1,monitoring,funnel1,funnel
,aag-stage1,monitoring,funnel1,funnellogs
,aag-stage1,monitoring,funnel1,madkub-injection-webhook
,aag-stage1,monitoring,funnel1,madkub-watchdog
,aag-stage1,monitoring,funnel1,metadata-concealer
,aag-stage1,monitoring,funnel1,stampy-webhook
,aag-stage1,monitoring,k8s,ajnakafka
,aag-stage1,monitoring,k8s,ajnakmf
,aag-stage1,monitoring,k8s,ajnaloadmgr
,aag-stage1,monitoring,k8s,ajnamirus
,aag-stage1,monitoring,k8s,clustermanagement
,aag-stage1,monitoring,k8s,collection
,aag-stage1,monitoring,k8s,collectioninjector
,aag-stage1,monitoring,k8s,madkub-injection-webhook
,aag-stage1,monitoring,k8s,madkub-watchdog
,aag-stage1,monitoring,k8s,metadata-concealer
,aag-stage1,monitoring,k8s,stampy-webhook
,aag-stage1,monitoring,sam-log-mon1,authzwebhook
,aag-stage1,monitoring,sam-log-mon1,clustermanagement
,aag-stage1,monitoring,sam-log-mon1,collection
,aag-stage1,monitoring,sam-log-mon1,collectioninjector
